"","Observations","sex","initial_diet","new_diet","ZStationary_back_butters","Zstationary_front_percent_butters","Zstationary_middle_percent_butters","Zmovement_percent_butters","Zlocomotion_percent_butters","Zself_groom_percent_butters","Zmouth_butters_percent","Ztouch_butters_percent","Zhanging_behaviors_butters","Zcrouching_butters","Zoral_exploration_butters","Ztactile_exploration_butters","Zstereotypy_butters","Zmo_manip_apple_butters","Zvigilant_percent_butters","Znonvigilant_percent_butters","Zstation_back_ffostare","Zstation_fr_ffostare","Zstation_mid_ffosta","Zlocomote_ffosta","Zmovement_ffosta","Ztac_expl_ffosta","Zself_gro_ffosta","Zstereo_ffosta","Zcrouching_ffosta","Zteethgrind_ffosta","Zlipsmack_ffosta","Zthreat_stranger_ffosta","Zno_response_ffosta","Ztouch_app_ffosta","Zmouth_app_ffosta","Zmanip_app_ffosta","Zeat_app_ffosta","Znonvigi_ffosta","Zvigi_ffosta","Zdir_eye_contact_ffosta","Zfreeze_back_ffosta","comp_1","comp_2","comp_3","comp_4","comp_2.2","comp_3.2"
"1",30155,1,2,2,-1.209918255,-0.775037049,-0.559409469,0.649920979,-1.43634201,-0.263331096,-0.309798599,-0.559132153,-0.399129336,0.216320089,-0.661003815,-0.486843501,-0.520722991,-0.28348673,0.430770923,-0.383451345,1.178744509,-0.456782505,-0.275842921,-0.792719623,0.172705549,-0.142857143,-0.240099093,-0.20935948,-0.486368186,-0.200362681,0.443260128,-0.219872509,0.193721479,-0.211481367,-0.38709583,-0.319695899,-0.564144738,-0.383712716,-2.753873902,3.167297687,0.126191218,-3.326002585,-0.454906198,-3.897900088,-1.23413351,0.324241134,-4.677047421
"2",30181,2,2,2,-0.873541238,0.208082917,-0.559409469,2.39355878,0.17170493,0.260056744,2.24232636,2.698708609,1.487828095,6.00833318,-0.661003815,1.761033674,-0.520722991,-0.28348673,-0.358006657,1.081704699,-1.523725475,-0.456782505,-0.275842921,-0.792719623,-0.692888684,-0.142857143,-0.240099093,-0.20935948,2.372041816,-0.200362681,-0.784091784,-0.219872509,1.025917859,-0.211481367,-0.38709583,-0.319695899,-0.564144738,-0.383712716,-0.318877818,0.36815401,-0.341826237,-2.475210862,-4.0777942,15.46947004,1.841379288,-2.846246304,14.23792215
"3",30224,1,1,2,0.705947496,-0.196954688,-0.316232517,-0.536876823,-0.40162163,-0.263331096,-0.309798599,0.538694206,-0.399129336,-0.255968465,0.139219118,0.587425094,-0.520722991,-0.28348673,0.430770923,-0.383451345,1.227045293,-0.456782505,-0.275842921,-0.792719623,-0.692888684,-0.142857143,-0.240099093,-0.20935948,-0.486368186,-0.200362681,-0.784091784,-0.219872509,1.025917859,-0.211481367,-0.38709583,-0.319695899,-0.564144738,3.600988956,-1.048369618,-0.858275057,-0.341826237,-3.107653876,1.041242882,-1.343377062,-0.433910577,-0.095475536,-0.206658643
"4",30292,1,1,2,0.898418762,-0.106977045,-0.559409469,-0.536876823,-0.348568844,-0.263331096,-0.309798599,-0.559132153,-0.399129336,-0.255968465,-0.601795183,0.049680318,-0.520722991,-0.005846553,-1.611180601,3.409477986,0.770260552,-0.456782505,-0.275842921,-0.139396143,1.079466443,-0.142857143,-0.240099093,-0.20935948,-0.486368186,-0.200362681,1.341176709,-0.219872509,-0.626145364,-0.211481367,-0.38709583,-0.291903538,1.299248391,0.904589179,-2.34188938,2.014785953,-0.341826237,3.060911182,-1.265022118,-1.503879431,-1.174924878,-0.552260278,-2.216641271
"5",30339,1,1,2,1.19799045,-0.695114607,-0.559409469,-0.536876823,-0.516749036,0.202262996,-0.309798599,-0.559132153,-0.399129336,-0.246668925,0.466939101,-0.486843501,-0.520722991,-0.28348673,-0.03927478,0.489659555,-0.106429348,-0.456782505,-0.275842921,1.165307478,2.909236022,-0.142857143,-0.240099093,-0.20935948,-0.486368186,-0.200362681,-0.101662094,-0.219872509,0.552265597,-0.211481367,-0.38709583,-0.319695899,-0.564144738,-0.383712716,-0.501186437,0.759846595,-0.341826237,-0.664225352,-0.270234507,-1.983421979,0.359403498,-1.428950177,-0.824706309
"6",30397,2,2,2,-0.364751779,-0.175358647,-0.183693733,-0.536876823,1.571381993,-0.263331096,-0.309798599,-0.362860377,-0.399129336,-0.255968465,0.339865411,1.079884902,-0.520722991,0.353610123,0.430770923,-0.383451345,0.612091232,-0.304979846,0.146930222,-0.154174559,1.964704927,-0.142857143,-0.240099093,-0.20935948,-0.486368186,-0.200362681,-0.494139771,0.293095131,0.153902784,-0.211481367,-0.38709583,-0.182249887,0.097676392,-0.383712716,-0.203557385,0.441769899,-0.341826237,2.402722107,-0.131442814,-2.250538444,-0.233264285,-0.197461957,-2.184519301
"7",30398,1,2,2,0.703605191,-0.132759613,-0.559409469,1.276995539,-0.043113744,-0.263331096,-0.309798599,-0.537185681,-0.399129336,-0.255968465,-0.661003815,0.23353875,-0.520722991,-0.28348673,0.430770923,-0.383451345,-1.523725475,-0.456782505,-0.275842921,4.228828371,-0.692888684,-0.142857143,-0.240099093,-0.20935948,-0.486368186,-0.200362681,-0.784091784,-0.219872509,1.025917859,-0.211481367,-0.38709583,-0.319695899,-0.564144738,-0.383712716,0.660583788,-0.48173772,-0.341826237,-1.932825625,-1.711870191,1.167763896,-1.23413351,-2.846246304,2.30214001
"8",30399,2,2,2,0.085311365,-0.291904397,-0.559409469,0.178185315,0.569001203,-0.263331096,0.413540072,1.494025321,-0.399129336,-0.255968465,0.791760776,-0.486843501,0.134674502,-0.28348673,0.430770923,-0.383451345,1.227045293,-0.456782505,-0.275842921,-0.792719623,-0.692888684,-0.142857143,-0.240099093,-0.20935948,-0.486368186,-0.200362681,-0.784091784,-0.219872509,1.025917859,-0.211481367,-0.38709583,-0.319695899,-0.564144738,-0.383712716,0.528616516,-0.340703534,3.447095911,-6.921606738,4.864926391,1.809052619,0.941969752,4.348844104,2.325134906
"9",30538,2,2,1,1.9674635,-0.775037049,-0.559409469,-0.536876823,-1.370819674,-0.263331096,-0.309798599,-0.559132153,-0.399129336,-0.255968465,-0.661003815,-0.486843501,-0.520722991,-0.28348673,0.430770923,-0.383451345,1.227045293,-0.456782505,-0.275842921,-0.792719623,-0.692888684,-0.142857143,-0.240099093,-0.20935948,-0.486368186,-0.200362681,-0.663246023,-0.219872509,0.943980688,-0.211481367,-0.38709583,-0.319695899,-0.564144738,-0.383712716,0.678368788,-0.500747225,2.9468832,-8.900625546,5.591468323,-1.374484546,-1.23413351,3.1932339,1.023749877
"10",30586,2,1,1,0.693447634,-0.405456253,-0.559409469,-0.536876823,0.351888563,-0.263331096,-0.309798599,0.077246691,-0.399129336,-0.255968465,-0.661003815,-0.126692495,-0.520722991,3.413363357,0.430770923,-0.383451345,0.563710676,-0.456782505,-0.275842921,-0.228016422,-0.256387997,-0.142857143,-0.240099093,-0.20935948,-0.143830624,-0.200362681,-0.784091784,-0.219872509,0.938071601,-0.211481367,-0.38709583,-0.108159555,-0.564144738,-0.383712716,1.012913839,-0.858275057,-0.341826237,-2.386549578,0.365408404,0.30264862,-1.23413351,-0.758810153,1.426867177
